[0.000000] (-) TimerEvent: {}
[0.000413] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000686] (-) JobUnselected: {'identifier': 'action_tutorials_interfaces'}
[0.000707] (-) JobUnselected: {'identifier': 'alicesim'}
[0.000720] (-) JobUnselected: {'identifier': 'bobsim'}
[0.000732] (-) JobUnselected: {'identifier': 'composition'}
[0.000743] (-) JobUnselected: {'identifier': 'controller_turtlesim'}
[0.000753] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000762] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000772] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000781] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000791] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000800] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000810] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000819] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000829] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000838] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000847] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000856] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000866] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000876] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000885] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000894] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000904] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000913] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000922] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000931] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000940] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000949] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000958] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000968] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000977] (-) JobUnselected: {'identifier': 'intra_process_demo'}
[0.000988] (-) JobUnselected: {'identifier': 'launch_example_package'}
[0.000998] (-) JobUnselected: {'identifier': 'launch_example_package2'}
[0.001008] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001018] (-) JobUnselected: {'identifier': 'my_package'}
[0.001027] (-) JobUnselected: {'identifier': 'my_py_package'}
[0.001037] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.001046] (-) JobUnselected: {'identifier': 'python_parameters'}
[0.001055] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001065] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001075] (-) JobUnselected: {'identifier': 'yangsim'}
[0.001084] (-) JobUnselected: {'identifier': 'yinsim'}
[0.001094] (-) JobUnselected: {'identifier': 'yinyang_msgs'}
[0.001103] (-) EventReactorShutdown: {}
